2,Phone Screen Time,#Outlook Checks,#Gmail Checks,# brusque retortions,Fitness yes/no?,Rem yes/no?,pther,Morn 1/2hr,Night 1/2 Hr,Journal 10 min,#Snapchat Checks,Wake By 8am?,Meditation (optional for April),Impulse buy (yes/no)
April 2,176,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
April 3,128,4,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
April 4,98,4,4,0,0,0,0.5,0,1,1,NA,NA,NA,NA
April 5,110,4,3,1,0,0,0,0.5,1,1,NA,NA,NA,NA
April 6,194,3,2,1,1,0.5,0,1,0,1,NA,NA,NA,NA
April 7,149,2,1,0.5,1,0,1,1,1,1,NA,NA,NA,NA
April 8,129,1,1,0,0,0,0.5,1,1,1,NA,NA,NA,NA
April 9,88,1,1,1,0,0,0,1,1,1,NA,NA,NA,NA
April 10,154,3,2,0,1,0,0,1,1,1,NA,1,,NA
April 11,92,7,4,0,1,1,1,1,1,1,NA,1,,NA
April 12,96,2,1,0,0,1,0,1,0,1,5,1,0,NA
April 13,118,2,2,0,0,0,0,0,0,0,4,2,0,NA
April 14,99,2,2,0,0,0,0,0,0,0,5,1,0,NA
April 15,147,1,0,0,0,0,0,0,0,1,NA,1,0,NA
April 16,262,1,1,1,0,1,1,0.5,1,1,NA,0,0,0
April 17,251,3,2,0,1,1,1,1,1,1,5,1,0,1
April 18,164,2,2,0,1,1,1,1,1,1,4,1,1,0
April 19,93,2,2,1,1,0,0,0.5,1,1,3,2,0,0
April 20,112,3,2,0,1,1,1,1,1,1,8,1.5,0,0
April 21,122,2,1,0,1,0,1,1,1,1,4,1,0,0
April 22,30,1,0,0,1,0,0,1,0,0,5,1,1,0
April 23,81,1,2,0,0,0,1,0,1,1,4,0,0,0
April 24,156,3,3,0,1,0,0,1,1,0,7,1,0,2
April 25,128,3,3,0,0.5,1,0,0.5,1,1,7,1,1,0
April 26,376,2,1,0,1,0,1,1,1,1,2,1,1,0
April 27,115,2,1,0,1,0,0,1,1,1,7,2,1,0
April 28,138,1,1,0,1,1,0,1,1,1,8,1,1,0
April 29,94,1,1,0,0.5,1.5,0,0,0,1,3,0,1,0
April 30,134,NA,NA,NA,1,0,0,NA,NA,1,NA,1,1,1
